index,league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Standard_Gls_p90,Standard_Sh_p90,Performance_Ast_p90,Performance_Crs_p90,Performance_TklW_p90,Performance_Int_p90,Performance_Fls_p90,Performance_Fld_p90
21,ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,2001,29,19,1623,18.0,1,3,4,1,0,0,4,1,0.06,0.17,0.22,0.06,0.22,ENG,MF,23,2001,18.0,1,19,4,21.1,1.05,0.22,0.05,0.25,0,0,ENG,MF,23,2001,18.0,4,1,1,13,28,5,11,8,15,,,0,0.05555555555555555,1.0555555555555556,0.16666666666666666,0.6111111111111112,0.8333333333333334,0.4444444444444444,0.7222222222222222,1.5555555555555556
22,ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,1994,34,27,2223,24.7,1,4,5,1,0,0,7,0,0.04,0.16,0.2,0.04,0.2,SCO,MF,29,1994,24.7,1,31,5,16.1,1.26,0.2,0.03,0.2,0,0,SCO,MF,29,1994,24.7,7,0,0,43,69,3,60,11,23,,,0,0.04048582995951417,1.2550607287449393,0.16194331983805668,2.4291497975708505,0.9311740890688259,0.4453441295546559,1.7408906882591093,2.7935222672064777
23,ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26,1997,24,14,1139,12.7,1,2,3,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,JAM,MF,26,1997,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,0,0,JAM,MF,26,1997,12.7,3,0,0,12,18,3,34,4,4,,,0,0.07874015748031496,2.204724409448819,0.15748031496062992,2.677165354330709,0.31496062992125984,0.31496062992125984,0.9448818897637796,1.4173228346456694
24,ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993,32,28,2351,26.1,0,4,4,0,0,0,4,0,0.0,0.15,0.15,0.0,0.15,FRA,DF,31,1993,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,0,0,FRA,DF,31,1993,26.1,4,0,0,21,16,7,140,22,36,,,0,0.0,0.49808429118773945,0.1532567049808429,5.363984674329502,1.379310344827586,0.842911877394636,0.8045977011494252,0.6130268199233716
25,ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,26,1997,27,24,2070,23.0,1,1,2,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09,POL,DF,26,1997,23.0,1,13,6,46.2,0.57,0.26,0.08,0.17,0,0,POL,DF,26,1997,23.0,7,0,0,27,20,1,40,22,31,,,0,0.043478260869565216,0.5652173913043478,0.043478260869565216,1.7391304347826086,1.3478260869565217,0.9565217391304348,1.173913043478261,0.8695652173913043
26,ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,MF,22,2002,37,37,3114,34.6,8,10,18,8,0,0,10,0,0.23,0.29,0.52,0.23,0.52,ENG,MF,22,2002,34.6,8,55,20,36.4,1.59,0.58,0.15,0.4,0,0,ENG,MF,22,2002,34.6,10,0,0,49,51,2,28,6,22,,,0,0.23121387283236994,1.5895953757225434,0.2890173410404624,0.8092485549132947,0.6358381502890174,0.17341040462427745,1.416184971098266,1.4739884393063583
27,ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,28,1995,38,31,2598,28.9,16,8,24,14,2,2,2,0,0.55,0.28,0.83,0.48,0.76,ENG,FW,28,1995,28.9,16,84,40,47.6,2.91,1.39,0.19,0.4,2,2,ENG,FW,28,1995,28.9,2,0,0,29,33,16,7,7,7,,,0,0.5536332179930796,2.906574394463668,0.2768166089965398,0.24221453287197234,0.24221453287197234,0.24221453287197234,1.0034602076124568,1.1418685121107266
28,ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,27,1997,24,23,2020,22.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,DF,27,1997,22.4,0,8,3,37.5,0.36,0.13,0.0,0.0,0,0,ESP,DF,27,1997,22.4,2,0,0,8,7,0,4,9,15,,,0,0.0,0.35714285714285715,0.0,0.17857142857142858,0.6696428571428572,0.4017857142857143,0.35714285714285715,0.3125
29,ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,31,1993,14,12,1120,12.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ENG,DF,31,1993,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,0,0,ENG,DF,31,1993,12.4,1,0,0,4,11,0,1,7,6,,,0,0.0,0.7258064516129032,0.0,0.08064516129032258,0.48387096774193544,0.564516129032258,0.3225806451612903,0.8870967741935484
30,ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,27,1997,36,35,3026,33.6,3,7,10,3,0,1,4,0,0.09,0.21,0.3,0.09,0.3,BEL,MF,27,1997,33.6,3,41,13,31.7,1.22,0.39,0.07,0.23,0,1,BEL,MF,27,1997,33.6,4,0,0,41,56,0,118,22,58,,,0,0.08928571428571429,1.2202380952380951,0.20833333333333331,3.511904761904762,1.726190476190476,0.6547619047619048,1.2202380952380951,1.6666666666666665
31,ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,33,1991,25,19,1590,17.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,ENG,DF,33,1991,17.7,0,3,0,0.0,0.17,0.0,0.0,,0,0,ENG,DF,33,1991,17.7,7,0,0,19,12,0,33,15,14,,,0,0.0,0.16949152542372883,0.0,1.864406779661017,0.7909604519774012,0.8474576271186441,1.073446327683616,0.6779661016949153
32,ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,MF,24,2000,37,36,3203,35.6,11,5,16,11,0,0,9,0,0.31,0.14,0.45,0.31,0.45,GHA,MF,24,2000,35.6,11,126,41,32.5,3.54,1.15,0.09,0.27,0,0,GHA,MF,24,2000,35.6,9,0,0,72,37,14,58,9,36,,,0,0.3089887640449438,3.539325842696629,0.14044943820224717,1.6292134831460674,1.0112359550561798,0.25280898876404495,2.0224719101123596,1.0393258426966292
33,ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,"MF,FW",22,2002,32,21,2005,22.3,7,4,11,7,0,0,3,0,0.31,0.18,0.49,0.31,0.49,BFA,"MF,FW",22,2002,22.3,7,62,20,32.3,2.78,0.9,0.11,0.35,0,0,BFA,"MF,FW",22,2002,22.3,3,0,0,16,19,13,88,11,26,,,0,0.3139013452914798,2.780269058295964,0.17937219730941703,3.9461883408071747,1.1659192825112108,0.49327354260089684,0.7174887892376681,0.852017937219731
34,ENG-Premier League,2425,Bournemouth,David Brooks,WAL,MF,27,1997,29,9,960,10.7,2,0,2,2,0,0,3,0,0.19,0.0,0.19,0.19,0.19,WAL,MF,27,1997,10.7,2,25,12,48.0,2.34,1.13,0.08,0.17,0,0,WAL,MF,27,1997,10.7,3,0,0,11,18,0,51,5,6,,,0,0.1869158878504673,2.336448598130841,0.0,4.766355140186916,0.5607476635514019,0.4672897196261683,1.0280373831775702,1.6822429906542058
35,ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,19,2005,32,26,2427,27.0,3,2,5,3,0,0,10,0,0.11,0.07,0.19,0.11,0.19,ESP,DF,19,2005,27.0,3,18,4,22.2,0.67,0.15,0.17,0.75,0,0,ESP,DF,19,2005,27.0,10,0,0,31,10,2,13,48,27,,,0,0.1111111111111111,0.6666666666666666,0.07407407407407407,0.48148148148148145,1.0,1.7777777777777777,1.1481481481481481,0.37037037037037035
36,ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,24,1999,31,28,2319,25.8,10,1,11,10,0,1,1,1,0.39,0.04,0.43,0.39,0.43,BRA,FW,24,1999,25.8,10,73,32,43.8,2.83,1.24,0.14,0.31,0,1,BRA,FW,24,1999,25.8,1,1,0,37,53,20,1,2,9,,,0,0.38759689922480617,2.8294573643410854,0.03875968992248062,0.03875968992248062,0.3488372093023256,0.07751937984496124,1.4341085271317828,2.054263565891473
37,ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,36,35,3109,34.5,0,1,1,0,0,0,4,1,0.0,0.03,0.03,0.0,0.03,UKR,DF,21,2002,34.5,0,12,1,8.3,0.35,0.03,0.0,0.0,0,0,UKR,DF,21,2002,34.5,4,1,0,20,7,0,6,39,35,,,0,0.0,0.34782608695652173,0.028985507246376812,0.17391304347826086,1.0144927536231885,1.1304347826086956,0.5797101449275363,0.2028985507246377
